,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind,hour,date,day,product,product_Accessible,product_Basic,product_Lux,product_SUV,product_Sedan,product_Shared,product_XL
2926,1.14,Lyft,Financial District,North End,16.5,1.0,a85e9bf8-2459-42a8-959d-74579441285c,lyft_lux,Lux Black,2018-11-28:14.02.07,38.4,0.48,991.64,0.0,0.67,11.33,14,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
626,1.08,Uber,Northeastern University,Back Bay,7.0,1.0,0e727239-958f-403a-96d2-9b84786e8974,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-27:01.45.22,44.18,1.0,1004.18,0.6364,0.91,12.39,1,2018-11-27,Tuesday,Accessible,1,0,0,0,0,0,0
1651,4.24,Lyft,Financial District,Fenway,89.0,2.0,3958e0d4-bc3f-4148-9c92-0c711f4b9474,lyft_luxsuv,Lux Black XL,2018-11-28:21.32.07,40.34,0.86,994.12,0.0,0.66,9.47,21,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1267,1.61,Uber,Haymarket Square,Theatre District,7.5,1.0,86d609c5-cacd-4c17-b733-42934a87f306,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29:04.46.23,37.69,0.45,998.92,0.0,0.7,9.42,4,2018-11-29,Thursday,Shared,0,0,0,0,0,1,0
2956,0.99,Uber,Financial District,Haymarket Square,27.5,1.0,41706de4-2723-4659-8a97-f99ab9719932,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:17.06.23,41.38,0.91,991.51,0.002,0.63,9.34,17,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
219,1.9,Uber,Beacon Hill,North End,9.5,1.0,37db9d2a-8716-4d46-a389-a700b1a124b5,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:07.33.43,35.02,0.13,991.56,0.0,0.8,6.74,7,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
1908,2.56,Uber,Northeastern University,West End,9.5,1.0,e6d7bc82-62f8-4847-b835-9177864f994e,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:09.32.11,33.28,0.42,991.79,0.0,0.84,5.89,9,2018-11-28,Wednesday,Accessible,1,0,0,0,0,0,0
2540,2.04,Uber,Back Bay,Haymarket Square,30.5,1.0,a19bce4d-b4fe-4f95-a5c5-3afc1ed03870,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:17.32.07,41.38,0.85,991.66,0.0,0.64,9.93,17,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1387,0.91,Uber,Beacon Hill,Haymarket Square,15.0,1.0,58fe15cb-2b33-497a-bb32-e0aeaa714a41,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:16.02.08,41.22,0.63,991.56,0.0,0.62,9.89,16,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
3582,4.48,Uber,Fenway,Financial District,14.0,1.0,9bef355a-33d0-4224-9db4-582f95f15571,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:04.46.23,37.93,0.45,998.91,0.0,0.69,9.44,4,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
1546,2.98,Lyft,Fenway,West End,10.5,1.0,efaf0c49-5b63-4eca-ac05-42b2ec15ab38,lyft,Lyft,2018-11-29:01.02.08,38.61,0.7,997.12,0.0,0.71,9.92,1,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
